Date,Close/Last,Volume,Open,High,Low
01/27/2023,$111.61,725192,$111.3,$112.98,$111
01/26/2023,$112.53,1276065,$111.41,$112.76,$110.61
01/25/2023,$110.11,1177183,$106.18,$110.38,$106.11
01/24/2023,$108.11,1182950,$108.24,$110.37,$107.53
01/23/2023,$109.43,1844396,$103.83,$109.69,$103.49
01/20/2023,$102.39,1036894,$100.16,$102.48,$98.66
01/19/2023,$98.79,1297743,$100.03,$100.305,$98.28
01/18/2023,$100.97,1208586,$102.28,$104.72,$100.93
01/17/2023,$101.27,1526370,$100.2,$102.89,$100.06
01/13/2023,$100.4,747954,$98.48,$100.46,$98.13
01/12/2023,$99.66,952237,$99.69,$100.52,$97.94
01/11/2023,$99.05,899619,$96.2,$99.1,$95.06
01/10/2023,$96.18,964745,$94.65,$96.56,$93.76
01/09/2023,$95.21,1361350,$95,$97.24,$94.7
01/06/2023,$93.35,1162253,$90.8,$93.94,$90.175
01/05/2023,$90.29,1206814,$90.2,$91.855,$89.56
01/04/2023,$91,1168833,$90.82,$91.54,$89.66
01/03/2023,$89.14,1451539,$92.59,$92.65,$89.03
12/30/2022,$90.64,858992,$88.7,$90.72,$87.8763
12/29/2022,$90.31,977840,$88.99,$91.24,$88.63
